grid_id,has_degradation,observation_count,spatial_split
grid_376960_9444480,0,22,train
grid_376960_9445760,0,19,val
grid_376960_9447040,0,19,val
grid_376960_9448320,0,20,train
grid_376960_9449600,0,18,train
grid_376960_9450880,0,18,train
grid_378240_9440640,0,20,train
grid_378240_9441920,0,22,test
grid_378240_9443200,0,21,train
grid_378240_9444480,0,20,train
grid_378240_9445760,0,16,train
grid_378240_9447040,0,19,train
grid_378240_9448320,0,20,test
grid_378240_9449600,0,23,train
grid_378240_9450880,0,20,train
grid_379520_9439360,0,21,train
grid_379520_9440640,0,20,test
grid_379520_9441920,0,17,train
grid_379520_9443200,0,22,train
grid_379520_9444480,0,18,train
grid_379520_9445760,0,17,train
grid_379520_9447040,0,17,test
grid_379520_9448320,0,17,train
grid_379520_9449600,0,16,train
grid_380800_9440640,0,21,train
grid_380800_9441920,0,16,train
grid_380800_9443200,0,16,train
grid_380800_9444480,0,18,val
grid_380800_9445760,0,12,test
grid_380800_9447040,0,12,train
grid_380800_9448320,0,13,test
grid_382080_9440640,0,13,val
grid_382080_9441920,0,14,test
grid_382080_9443200,0,15,train
grid_382080_9444480,0,17,train
grid_382080_9445760,0,13,train
grid_382080_9447040,0,10,val
grid_382080_9448320,0,7,train
grid_383360_9439360,0,15,test
grid_383360_9440640,0,14,train
grid_383360_9441920,0,13,train
grid_383360_9443200,0,14,test
grid_383360_9444480,0,15,val
grid_383360_9445760,0,15,val
grid_383360_9447040,0,12,train
grid_383360_9448320,0,9,train
grid_384640_9440640,0,16,test
grid_384640_9441920,0,15,test
grid_384640_9443200,0,14,test
grid_384640_9444480,0,16,train
grid_384640_9445760,0,15,train
grid_384640_9447040,0,13,train
grid_385920_9439360,0,15,train
grid_385920_9440640,0,17,train
grid_385920_9441920,0,15,train
grid_385920_9443200,0,14,train
grid_385920_9444480,0,14,train
grid_385920_9445760,0,14,test
grid_385920_9447040,0,13,train
grid_387200_9440640,0,17,train
grid_387200_9441920,0,15,test
grid_387200_9443200,0,17,train
grid_387200_9444480,0,16,train
grid_387200_9445760,0,18,train
grid_388480_9438080,0,14,train
grid_388480_9439360,0,15,train
grid_388480_9440640,0,15,test
grid_388480_9441920,0,15,train
grid_388480_9443200,0,14,train
grid_388480_9444480,0,16,train
grid_388480_9445760,0,13,test
grid_389760_9435520,0,20,val
grid_389760_9438080,0,3,train
grid_389760_9439360,0,19,train
grid_389760_9440640,0,16,train
grid_389760_9441920,0,12,train
grid_389760_9443200,0,15,train
grid_389760_9444480,0,16,train
grid_391040_9425280,0,24,train
grid_391040_9426560,0,24,train
grid_391040_9427840,0,23,train
grid_391040_9429120,0,23,train
grid_391040_9430400,1,2,train
grid_391040_9431680,0,25,val
grid_391040_9432960,0,24,train
grid_391040_9434240,0,20,train
grid_391040_9435520,0,19,train
grid_391040_9436800,0,17,val
grid_391040_9438080,0,1,test
grid_391040_9439360,0,20,train
grid_391040_9440640,0,17,train
grid_391040_9441920,0,17,train
grid_391040_9443200,0,9,train
grid_392320_9424000,0,24,train
grid_392320_9425280,0,24,val
grid_392320_9426560,0,25,val
grid_392320_9427840,0,25,train
grid_392320_9429120,0,25,test
grid_392320_9430400,0,25,train
grid_392320_9431680,0,14,train
grid_392320_9432960,0,24,train
grid_392320_9434240,0,21,train
grid_392320_9435520,0,20,train
grid_392320_9436800,0,19,train
grid_392320_9438080,0,18,val
grid_392320_9439360,0,7,test
grid_392320_9440640,0,19,train
grid_392320_9441920,0,17,train
grid_393600_9422720,0,5,train
grid_393600_9424000,0,25,train
grid_393600_9425280,0,25,train
grid_393600_9426560,0,24,val
grid_393600_9427840,0,24,train
grid_393600_9429120,0,23,train
grid_393600_9430400,0,19,train
grid_393600_9431680,0,24,train
grid_393600_9432960,0,23,train
grid_393600_9434240,0,19,train
grid_393600_9435520,0,15,val
grid_393600_9436800,0,15,train
grid_393600_9438080,0,14,train
grid_393600_9440640,0,17,val
grid_393600_9441920,0,17,train
grid_393600_9443200,0,13,train
grid_394880_9421440,0,26,val
grid_394880_9422720,1,9,train
grid_394880_9424000,0,28,test
grid_394880_9425280,0,26,train
grid_394880_9426560,0,26,train
grid_394880_9427840,0,27,train
grid_394880_9429120,0,26,test
grid_394880_9430400,0,23,val
grid_394880_9431680,0,22,train
grid_394880_9432960,0,17,train
grid_394880_9434240,0,14,train
grid_394880_9435520,0,15,train
grid_394880_9436800,0,17,test
grid_394880_9438080,0,18,train
grid_394880_9439360,0,16,val
grid_394880_9440640,0,18,train
grid_394880_9441920,0,17,train
grid_396160_9418880,0,26,train
grid_396160_9420160,0,24,train
grid_396160_9421440,0,25,train
grid_396160_9422720,0,25,val
grid_396160_9424000,1,22,train
grid_396160_9425280,0,26,train
grid_396160_9426560,0,25,train
grid_396160_9427840,0,28,val
grid_396160_9429120,0,27,train
grid_396160_9430400,0,24,train
grid_396160_9431680,0,22,train
grid_396160_9432960,0,18,train
grid_396160_9434240,0,14,train
grid_396160_9435520,0,13,train
grid_396160_9436800,0,15,train
grid_396160_9438080,0,14,train
grid_396160_9439360,0,15,val
grid_396160_9440640,0,16,train
grid_396160_9441920,0,16,val
grid_397440_9416320,0,26,train
grid_397440_9417600,0,24,test
grid_397440_9418880,0,24,train
grid_397440_9420160,0,23,train
grid_397440_9421440,0,22,test
grid_397440_9422720,0,25,train
grid_397440_9424000,0,26,val
grid_397440_9425280,0,1,train
grid_397440_9426560,0,28,train
grid_397440_9427840,0,23,train
grid_397440_9429120,0,26,train
grid_397440_9430400,0,26,train
grid_397440_9431680,0,22,train
grid_397440_9432960,0,22,train
grid_397440_9434240,0,16,test
grid_397440_9435520,0,15,train
grid_397440_9436800,0,14,train
grid_397440_9438080,0,13,train
grid_397440_9439360,0,13,train
grid_397440_9440640,0,14,train
grid_398720_9415040,0,23,train
grid_398720_9416320,0,22,test
grid_398720_9417600,0,25,train
grid_398720_9418880,0,25,train
grid_398720_9420160,0,23,train
grid_398720_9421440,0,24,test
grid_398720_9422720,0,24,train
grid_398720_9424000,0,23,val
grid_398720_9425280,1,4,train
grid_398720_9426560,0,6,train
grid_398720_9427840,0,12,test
grid_398720_9429120,0,25,train
grid_398720_9430400,0,21,train
grid_398720_9431680,0,22,test
grid_398720_9432960,0,20,test
grid_398720_9434240,0,15,train
grid_398720_9435520,0,17,train
grid_398720_9436800,0,17,train
grid_398720_9438080,0,14,test
grid_398720_9439360,0,11,train
grid_400000_9413760,0,26,train
grid_400000_9415040,0,26,train
grid_400000_9416320,0,24,train
grid_400000_9417600,0,24,train
grid_400000_9418880,0,23,train
grid_400000_9420160,0,25,train
grid_400000_9421440,0,23,train
grid_400000_9422720,0,21,train
grid_400000_9424000,0,21,train
grid_400000_9425280,0,24,val
grid_400000_9426560,0,9,train
grid_400000_9427840,1,1,train
grid_400000_9429120,0,26,train
grid_400000_9430400,0,24,train
grid_400000_9431680,0,17,train
grid_400000_9432960,0,18,train
grid_400000_9434240,0,14,train
grid_400000_9435520,0,15,train
grid_400000_9436800,0,14,test
grid_400000_9438080,0,13,train
grid_401280_9412480,0,25,val
grid_401280_9413760,0,25,train
grid_401280_9415040,0,26,train
grid_401280_9416320,0,26,train
grid_401280_9417600,0,24,val
grid_401280_9418880,0,24,test
grid_401280_9420160,0,22,train
grid_401280_9421440,0,22,train
grid_401280_9422720,0,18,train
grid_401280_9424000,0,20,train
grid_401280_9425280,0,23,test
grid_401280_9426560,0,26,val
grid_401280_9427840,0,14,train
grid_401280_9429120,0,26,val
grid_401280_9430400,0,21,train
grid_401280_9431680,0,21,train
grid_401280_9432960,0,19,train
grid_401280_9434240,0,16,val
grid_401280_9435520,0,16,test
grid_401280_9436800,0,13,train
grid_401280_9438080,0,16,train
grid_402560_9411200,0,24,train
grid_402560_9412480,0,23,train
grid_402560_9413760,0,26,val
grid_402560_9415040,0,26,train
grid_402560_9416320,0,26,val
grid_402560_9417600,0,23,val
grid_402560_9418880,0,24,val
grid_402560_9420160,0,11,val
grid_402560_9421440,0,19,test
grid_402560_9422720,0,20,train
grid_402560_9424000,0,18,train
grid_402560_9425280,0,23,test
grid_402560_9426560,0,23,val
grid_402560_9427840,0,9,train
grid_402560_9429120,0,26,train
grid_402560_9430400,0,23,train
grid_402560_9431680,0,20,train
grid_402560_9432960,0,16,train
grid_402560_9434240,0,14,train
grid_402560_9435520,0,13,train
grid_402560_9436800,0,16,train
grid_402560_9438080,0,18,train
grid_403840_9411200,0,21,train
grid_403840_9412480,0,22,test
grid_403840_9413760,0,25,train
grid_403840_9415040,0,24,train
grid_403840_9416320,0,24,train
grid_403840_9417600,0,23,train
grid_403840_9418880,0,22,train
grid_403840_9420160,0,23,train
grid_403840_9421440,0,22,train
grid_403840_9422720,0,21,train
grid_403840_9424000,0,19,train
grid_403840_9425280,0,21,train
grid_403840_9426560,0,20,train
grid_403840_9427840,1,8,train
grid_403840_9429120,0,26,train
grid_403840_9430400,0,23,train
grid_403840_9431680,0,20,train
grid_403840_9432960,0,16,train
grid_403840_9434240,0,15,train
grid_403840_9435520,0,15,train
grid_403840_9436800,0,15,train
grid_405120_9409920,0,22,test
grid_405120_9411200,0,22,train
grid_405120_9412480,0,24,train
grid_405120_9413760,0,24,train
grid_405120_9415040,0,24,test
grid_405120_9416320,0,22,train
grid_405120_9417600,0,22,test
grid_405120_9418880,0,22,train
grid_405120_9420160,0,21,train
grid_405120_9421440,0,21,train
grid_405120_9422720,0,23,train
grid_405120_9424000,0,20,train
grid_405120_9425280,0,20,train
grid_405120_9426560,0,16,train
grid_405120_9427840,0,21,train
grid_405120_9429120,0,24,val
grid_405120_9430400,0,21,train
grid_405120_9431680,0,17,train
grid_405120_9432960,0,17,test
grid_405120_9434240,0,15,train
grid_405120_9435520,0,13,train
grid_405120_9436800,0,14,train
grid_406400_9406080,0,15,val
grid_406400_9407360,0,20,train
grid_406400_9408640,0,23,train
grid_406400_9409920,0,24,train
grid_406400_9411200,0,25,test
grid_406400_9412480,0,24,train
grid_406400_9413760,0,22,train
grid_406400_9415040,0,25,val
grid_406400_9416320,0,23,train
grid_406400_9417600,0,22,train
grid_406400_9418880,0,21,test
grid_406400_9420160,0,20,test
grid_406400_9421440,0,21,train
grid_406400_9422720,0,20,test
grid_406400_9424000,0,20,train
grid_406400_9425280,0,18,val
grid_406400_9426560,0,19,train
grid_406400_9427840,0,19,val
grid_406400_9429120,0,23,train
grid_406400_9430400,0,20,train
grid_406400_9431680,0,18,train
grid_406400_9432960,0,18,test
grid_406400_9434240,0,16,train
grid_406400_9435520,0,16,train
grid_406400_9436800,0,17,train
grid_407680_9404800,0,18,test
grid_407680_9406080,0,22,train
grid_407680_9407360,0,21,train
grid_407680_9408640,0,20,train
grid_407680_9409920,0,20,val
grid_407680_9411200,0,22,val
grid_407680_9412480,0,22,train
grid_407680_9413760,0,22,train
grid_407680_9415040,0,23,val
grid_407680_9416320,0,23,train
grid_407680_9417600,0,21,train
grid_407680_9418880,0,21,train
grid_407680_9420160,0,19,val
grid_407680_9421440,0,22,train
grid_407680_9422720,0,18,train
grid_407680_9424000,0,16,train
grid_407680_9425280,0,16,train
grid_407680_9426560,0,18,train
grid_407680_9427840,0,20,test
grid_407680_9429120,0,22,train
grid_407680_9430400,0,18,train
grid_407680_9431680,0,19,val
grid_407680_9432960,0,16,train
grid_407680_9434240,0,15,train
grid_407680_9435520,0,13,test
grid_408960_9404800,0,22,test
grid_408960_9406080,0,22,test
grid_408960_9407360,0,23,test
grid_408960_9408640,0,19,train
grid_408960_9409920,0,19,train
grid_408960_9411200,0,19,train
grid_408960_9412480,0,19,test
grid_408960_9413760,0,22,train
grid_408960_9415040,0,20,val
grid_408960_9416320,0,21,train
grid_408960_9417600,0,19,train
grid_408960_9418880,0,19,test
grid_408960_9420160,0,21,train
grid_408960_9421440,0,20,train
grid_408960_9422720,0,13,train
grid_408960_9424000,0,13,test
grid_408960_9425280,0,15,train
grid_408960_9426560,0,20,train
grid_408960_9427840,0,19,train
grid_408960_9429120,0,20,train
grid_408960_9430400,0,17,train
grid_408960_9431680,0,17,train
grid_408960_9432960,0,15,train
grid_408960_9434240,0,16,train
grid_410240_9403520,0,23,train
grid_410240_9404800,0,20,train
grid_410240_9406080,0,20,train
grid_410240_9407360,0,21,train
grid_410240_9408640,0,20,val
grid_410240_9409920,0,19,train
grid_410240_9411200,0,16,train
grid_410240_9412480,0,14,test
grid_410240_9413760,0,17,train
grid_410240_9415040,0,20,train
grid_410240_9416320,0,18,train
grid_410240_9417600,0,19,train
grid_410240_9418880,0,18,train
grid_410240_9420160,0,20,val
grid_410240_9421440,0,20,train
grid_410240_9422720,0,15,train
grid_410240_9424000,0,16,train
grid_410240_9425280,0,16,val
grid_410240_9426560,0,19,train
grid_410240_9427840,0,18,train
grid_410240_9429120,1,6,train
grid_410240_9430400,1,13,train
grid_410240_9431680,0,18,train
grid_410240_9432960,0,18,train
grid_410240_9434240,0,11,train
grid_411520_9402240,0,22,val
grid_411520_9403520,0,23,train
grid_411520_9404800,0,21,train
grid_411520_9406080,0,21,train
grid_411520_9407360,0,18,train
grid_411520_9408640,0,19,train
grid_411520_9409920,0,18,test
grid_411520_9411200,0,17,val
grid_411520_9412480,0,18,val
grid_411520_9413760,0,18,test
grid_411520_9415040,0,18,train
grid_411520_9416320,0,17,train
grid_411520_9417600,0,16,train
grid_411520_9418880,0,17,test
grid_411520_9420160,0,21,train
grid_411520_9421440,0,17,val
grid_411520_9422720,0,18,train
grid_411520_9424000,0,15,train
grid_411520_9425280,0,17,val
grid_411520_9426560,0,19,train
grid_411520_9427840,1,13,train
grid_411520_9429120,1,12,train
grid_411520_9430400,1,16,val
grid_411520_9431680,0,18,train
grid_411520_9432960,0,20,test
grid_412800_9400960,0,22,train
grid_412800_9402240,0,22,train
grid_412800_9403520,0,23,train
grid_412800_9404800,0,19,train
grid_412800_9406080,0,20,train
grid_412800_9407360,0,19,train
grid_412800_9408640,0,16,train
grid_412800_9409920,0,17,train
grid_412800_9411200,0,18,test
grid_412800_9412480,0,17,train
grid_412800_9413760,0,16,train
grid_412800_9415040,0,15,train
grid_412800_9416320,0,16,train
grid_412800_9417600,0,18,train
grid_412800_9418880,0,20,val
grid_412800_9420160,0,19,train
grid_412800_9421440,0,20,train
grid_412800_9422720,0,17,train
grid_412800_9424000,0,17,train
grid_412800_9425280,1,16,train
grid_412800_9426560,1,13,train
grid_412800_9427840,1,10,train
grid_412800_9429120,1,11,val
grid_412800_9430400,1,16,train
grid_412800_9431680,0,19,train
grid_412800_9432960,0,19,train
grid_412800_9434240,0,20,train
grid_414080_9400960,0,19,val
grid_414080_9402240,0,18,train
grid_414080_9403520,0,19,train
grid_414080_9404800,0,22,train
grid_414080_9406080,0,19,train
grid_414080_9407360,0,17,train
grid_414080_9408640,0,18,test
grid_414080_9409920,0,18,train
grid_414080_9411200,0,17,test
grid_414080_9412480,0,18,train
grid_414080_9413760,0,18,train
grid_414080_9415040,0,16,train
grid_414080_9416320,0,16,val
grid_414080_9417600,0,18,train
grid_414080_9418880,1,16,test
grid_414080_9420160,1,16,train
grid_414080_9421440,0,15,train
grid_414080_9422720,0,19,train
grid_414080_9424000,1,9,train
grid_414080_9425280,1,9,train
grid_414080_9426560,1,9,train
grid_414080_9427840,1,9,train
grid_414080_9429120,1,11,train
grid_414080_9430400,1,17,train
grid_414080_9431680,0,20,train
grid_414080_9432960,0,20,train
grid_414080_9435520,1,12,train
grid_415360_9402240,0,21,train
grid_415360_9403520,0,21,val
grid_415360_9404800,0,20,train
grid_415360_9406080,0,18,train
grid_415360_9407360,0,17,train
grid_415360_9408640,0,18,test
grid_415360_9409920,0,20,train
grid_415360_9411200,0,18,val
grid_415360_9412480,0,16,train
grid_415360_9413760,0,18,test
grid_415360_9415040,0,19,train
grid_415360_9416320,0,20,train
grid_415360_9417600,0,17,train
grid_415360_9418880,1,18,train
grid_415360_9420160,1,12,train
grid_415360_9421440,1,13,val
grid_415360_9422720,1,18,test
grid_415360_9424000,1,9,train
grid_415360_9425280,1,9,train
grid_415360_9426560,1,13,train
grid_415360_9427840,1,13,val
grid_415360_9429120,1,13,test
grid_415360_9430400,1,6,train
grid_415360_9431680,0,16,train
grid_415360_9432960,1,9,train
grid_415360_9434240,1,2,train
grid_415360_9435520,0,18,val
grid_416640_9404800,0,19,train
grid_416640_9406080,0,17,train
grid_416640_9407360,0,17,train
grid_416640_9408640,0,18,train
grid_416640_9409920,0,18,train
grid_416640_9411200,0,18,test
grid_416640_9412480,0,17,val
grid_416640_9413760,0,18,test
grid_416640_9415040,0,18,test
grid_416640_9416320,0,16,test
grid_416640_9417600,0,16,train
grid_416640_9418880,1,22,train
grid_416640_9421440,1,10,test
grid_416640_9422720,1,14,train
grid_416640_9424000,1,6,train
grid_416640_9425280,1,8,train
grid_416640_9426560,1,8,test
grid_416640_9427840,1,10,test
grid_416640_9429120,1,5,test
grid_416640_9434240,0,15,train
grid_416640_9435520,1,7,train
grid_416640_9436800,0,14,test
grid_417920_9404800,0,14,test
grid_417920_9406080,0,16,test
grid_417920_9407360,0,18,val
grid_417920_9408640,0,19,train
grid_417920_9409920,0,20,train
grid_417920_9411200,0,18,train
grid_417920_9412480,0,17,train
grid_417920_9413760,0,19,val
grid_417920_9415040,0,18,train
grid_417920_9422720,0,11,train
grid_417920_9434240,0,10,train
grid_417920_9435520,1,6,train
grid_417920_9436800,1,4,train
grid_417920_9438080,1,9,val
grid_419200_9403520,0,16,train
grid_419200_9404800,0,16,test
grid_419200_9406080,0,16,val
grid_419200_9407360,0,16,train
grid_419200_9408640,0,19,train
grid_419200_9409920,0,19,test
grid_419200_9411200,0,19,test
grid_419200_9412480,0,18,test
grid_419200_9413760,0,18,train
grid_419200_9415040,0,17,train
grid_419200_9430400,1,6,train
grid_419200_9431680,1,6,train
grid_419200_9432960,1,6,train
grid_419200_9434240,0,12,train
grid_419200_9435520,1,14,train
grid_420480_9402240,0,18,train
grid_420480_9403520,0,14,test
grid_420480_9404800,0,15,train
grid_420480_9406080,0,14,train
grid_420480_9407360,0,20,train
grid_420480_9408640,0,19,train
grid_420480_9409920,0,19,train
grid_420480_9411200,0,18,train
grid_420480_9412480,0,17,train
grid_420480_9413760,1,12,train
grid_420480_9429120,1,6,train
grid_420480_9430400,1,16,val
grid_420480_9431680,1,9,train
grid_420480_9432960,1,5,test
grid_420480_9434240,0,13,train
grid_420480_9435520,1,10,train
grid_421760_9400960,0,19,train
grid_421760_9402240,0,20,train
grid_421760_9403520,0,17,train
grid_421760_9404800,0,18,test
grid_421760_9406080,0,15,train
grid_421760_9407360,0,18,test
grid_421760_9408640,0,15,val
grid_421760_9409920,0,16,val
grid_421760_9411200,0,17,test
grid_421760_9412480,0,21,val
grid_421760_9426560,0,4,train
grid_421760_9427840,1,7,train
grid_421760_9429120,1,9,test
grid_421760_9430400,1,5,train
grid_421760_9431680,0,14,train
grid_421760_9432960,1,10,train
grid_421760_9434240,0,9,train
grid_421760_9435520,0,12,test
grid_421760_9436800,0,16,train
grid_423040_9399680,0,20,train
grid_423040_9400960,0,21,train
grid_423040_9402240,0,21,train
grid_423040_9403520,0,21,train
grid_423040_9404800,0,19,val
grid_423040_9406080,0,17,val
grid_423040_9407360,0,18,test
grid_423040_9408640,0,18,train
grid_423040_9409920,0,13,train
grid_423040_9412480,0,14,test
grid_423040_9426560,1,2,test
grid_423040_9427840,0,6,train
grid_423040_9429120,1,8,train
grid_423040_9430400,1,5,val
grid_423040_9431680,0,16,train
grid_423040_9432960,0,14,train
grid_423040_9434240,0,11,train
grid_423040_9435520,0,17,train
grid_423040_9436800,0,19,train
grid_423040_9438080,0,13,val
grid_424320_9399680,0,22,train
grid_424320_9400960,0,20,train
grid_424320_9402240,0,22,train
grid_424320_9403520,0,22,train
grid_424320_9404800,0,16,train
grid_424320_9406080,0,16,train
grid_424320_9407360,0,17,train
grid_424320_9424000,1,2,test
grid_424320_9425280,1,2,train
grid_424320_9426560,1,2,train
grid_424320_9427840,0,18,train
grid_424320_9429120,1,5,train
grid_424320_9430400,0,15,train
grid_424320_9431680,0,16,val
grid_424320_9432960,0,13,train
grid_424320_9434240,0,8,train
grid_424320_9435520,0,12,train
grid_424320_9436800,0,15,train
grid_424320_9438080,0,11,train
grid_424320_9439360,0,13,test
grid_425600_9398400,0,20,test
grid_425600_9399680,0,23,train
grid_425600_9400960,0,20,train
grid_425600_9402240,0,21,test
grid_425600_9403520,0,21,train
grid_425600_9404800,0,20,train
grid_425600_9406080,0,17,train
grid_425600_9407360,0,16,train
grid_425600_9418880,1,11,train
grid_425600_9424000,1,16,test
grid_425600_9425280,0,8,test
grid_425600_9426560,0,21,train
grid_425600_9427840,1,8,test
grid_425600_9429120,1,3,train
grid_425600_9430400,0,16,train
grid_425600_9431680,0,10,train
grid_425600_9432960,0,15,train
grid_425600_9434240,0,12,train
grid_425600_9435520,0,11,train
grid_425600_9436800,0,12,train
grid_425600_9438080,0,12,test
grid_425600_9439360,0,5,train
grid_426880_9398400,0,24,val
grid_426880_9399680,0,22,train
grid_426880_9400960,0,19,train
grid_426880_9402240,0,19,test
grid_426880_9403520,0,20,test
grid_426880_9404800,0,19,val
grid_426880_9416320,1,16,test
grid_426880_9417600,1,11,train
grid_426880_9418880,0,16,train
grid_426880_9420160,0,2,val
grid_426880_9424000,1,7,train
grid_426880_9425280,0,14,train
